epoch,accuracy,loss,val_accuracy,val_loss
0,0.3769720494747162,1.317413091659546,0.45821326971054077,1.271303415298462
1,0.6706337928771973,0.9714748859405518,0.639769434928894,0.9721051454544067
2,0.7926930785179138,0.5803177356719971,0.6743515729904175,0.8009116649627686
3,0.843620240688324,0.42262569069862366,0.6974063515663147,0.8165122866630554
4,0.8804317712783813,0.33783483505249023,0.6829971075057983,0.8419826030731201
5,0.8989759087562561,0.28303226828575134,0.7060518860816956,0.9046064615249634
6,0.9194574952125549,0.23493008315563202,0.6829971075057983,0.9570249319076538
7,0.9335731863975525,0.19543583691120148,0.6916426420211792,0.986484944820404
8,0.9515637755393982,0.1662626713514328,0.6945244669914246,1.07750403881073
9,0.9576529264450073,0.14524045586585999,0.6945244669914246,1.1069220304489136
10,0.9620813727378845,0.13218063116073608,0.6685879230499268,1.1770298480987549
11,0.9662330746650696,0.1186196357011795,0.6714697480201721,1.2311738729476929
12,0.9690008163452148,0.10749501734972,0.6772334575653076,1.286702036857605
13,0.9695543646812439,0.09816889464855194,0.6829971075057983,1.3147867918014526
14,0.9717686176300049,0.09375930577516556,0.680115282535553,1.3457322120666504
15,0.972875714302063,0.08762505650520325,0.6714697480201721,1.388666033744812
16,0.973706066608429,0.08654879778623581,0.6829971075057983,1.4104931354522705
17,0.9723221659660339,0.08696795254945755,0.6858789920806885,1.4320638179779053
18,0.9778577089309692,0.07412239164113998,0.6772334575653076,1.5281189680099487
19,0.975089967250824,0.07625611871480942,0.680115282535553,1.573254108428955
20,0.976473867893219,0.07602173835039139,0.6916426420211792,1.5216833353042603
21,0.9753667116165161,0.06983447819948196,0.6945244669914246,1.5428595542907715
22,0.9773041605949402,0.06726448237895966,0.6628242135047913,1.6270146369934082
23,0.9773041605949402,0.07172869890928268,0.6685879230499268,1.6653952598571777
24,0.9775809645652771,0.06451044231653214,0.680115282535553,1.643164038658142
